datetime,x,y
20200122 04:35,121.4566,25.0054
20200122 05:11,121.4581,25.0036
20200122 05:15,121.4569,25.0048
20200122 05:17,121.4581,25.0036
20200122 05:17,121.4570,25.0048
20200122 05:20,121.4581,25.0036
20200122 05:20,121.4570,25.0048
20200122 05:27,121.4580,25.0035
20200122 05:55,121.4570,25.0048
20200122 06:14,121.4582,25.0037
20200122 06:14,121.4572,25.0048
20200122 06:15,121.4582,25.0037
20200122 06:15,121.4572,25.0048
20200122 06:20,121.4582,25.0037
20200122 06:20,121.4572,25.0048
20200122 06:22,121.4582,25.0036
20200122 06:34,121.4573,25.0048
20200122 06:34,121.4582,25.0036
20200122 06:34,121.4573,25.0048
20200122 06:39,121.4582,25.0036
20200122 06:44,121.4571,25.0048
20200122 06:59,121.4580,25.0035
20200122 07:30,121.4596,25.0057
20200122 07:34,121.4569,25.0058
20200122 07:34,121.4597,25.0047
20200122 07:34,121.4569,25.0058
20200122 07:35,121.4597,25.0047
20200122 07:35,121.4566,25.0054
20200122 07:36,121.4596,25.0057
20200122 07:44,121.4553,25.0050
20200122 07:47,121.4543,25.0039
20200122 07:50,121.4553,25.0051
20200122 07:50,121.4536,25.0038
20200122 07:53,121.4601,25.0094
20200122 07:54,121.4589,25.0112
20200122 07:54,121.4596,25.0130
20200122 07:54,121.4580,25.0149
20200122 07:54,121.4596,25.0130
20200122 07:54,121.4580,25.0149
20200122 07:54,121.4589,25.0112
20200122 07:54,121.4596,25.0130
20200122 07:54,121.4589,25.0112
20200122 07:54,121.4579,25.0150
20200122 07:54,121.4606,25.0100
20200122 07:54,121.4589,25.0112
20200122 07:54,121.4606,25.0100
20200122 07:54,121.4589,25.0112
20200122 07:54,121.4602,25.0129
20200122 07:54,121.4593,25.0117
20200122 08:01,121.4769,25.0349
20200122 08:01,121.4757,25.0336
20200122 08:01,121.4796,25.0357
20200122 08:01,121.4752,25.0331
20200122 08:01,121.4796,25.0357
20200122 08:01,121.4769,25.0349
20200122 08:01,121.4750,25.0327
20200122 08:02,121.4866,25.0356
20200122 08:02,121.4942,25.0380
20200122 08:02,121.4866,25.0356
20200122 08:03,121.4956,25.0388
20200122 08:03,121.4979,25.0401
20200122 08:11,121.5140,25.0527
20200122 08:13,121.5179,25.0544
20200122 08:17,121.5414,25.0517
20200122 08:21,121.5558,25.0515
20200122 08:21,121.5531,25.0515
20200122 08:21,121.5548,25.0515
20200122 08:21,121.5565,25.0515
20200122 08:21,121.5548,25.0515
20200122 08:21,121.5531,25.0515
20200122 08:21,121.5548,25.0515
20200122 08:21,121.5565,25.0515
20200122 08:21,121.5586,25.0515
20200122 08:21,121.5548,25.0515
20200122 08:21,121.5572,25.0516
20200122 08:21,121.5548,25.0515
20200122 08:21,121.5531,25.0515
20200122 08:21,121.5572,25.0516
20200122 08:26,121.5727,25.0571
20200122 08:28,121.5714,25.0560
20200122 08:30,121.5657,25.0514
20200122 08:32,121.5652,25.0488
20200122 08:32,121.5654,25.0505
20200122 08:32,121.5646,25.0479
20200122 08:33,121.5612,25.0484
20200122 08:33,121.5652,25.0488
20200122 08:34,121.5559,25.0446
20200122 08:36,121.5491,25.0385
20200122 08:36,121.5486,25.0372
20200122 08:36,121.5491,25.0385
20200122 08:37,121.5484,25.0370
20200122 08:37,121.5485,25.0353
20200122 08:39,121.5485,25.0323
20200122 08:47,121.5466,25.0331
20200122 08:47,121.5485,25.0329
20200122 08:47,121.5466,25.0331
20200122 08:47,121.5485,25.0329
20200122 08:47,121.5466,25.0331
20200122 08:47,121.5485,25.0329
20200122 08:48,121.5468,25.0331
20200122 08:48,121.5489,25.0313
20200122 08:50,121.5475,25.0327
20200122 12:17,121.5458,25.0331
20200122 12:18,121.5442,25.0333
20200122 12:32,121.5427,25.0332
20200122 12:32,121.5435,25.0320
20200122 12:32,121.5427,25.0332
20200122 12:32,121.5435,25.0320
20200122 12:33,121.5423,25.0334
20200122 12:37,121.5435,25.0323
20200122 12:46,121.5436,25.0339
20200122 12:58,121.5435,25.0324
20200122 13:16,121.5423,25.0334
20200122 13:28,121.5436,25.0315
20200122 13:28,121.5435,25.0332
20200122 13:28,121.5436,25.0315
20200122 13:28,121.5435,25.0332
20200122 13:28,121.5435,25.0318
20200122 13:28,121.5429,25.0332
20200122 13:29,121.5435,25.0318
20200122 13:30,121.5432,25.0333
20200122 13:31,121.5448,25.0332
20200122 13:34,121.5467,25.0333
20200122 13:36,121.5485,25.0336
20200122 13:36,121.5467,25.0333
20200122 13:36,121.5485,25.0336
20200122 15:31,121.5467,25.0331
20200122 15:33,121.5485,25.0332
20200122 15:33,121.5467,25.0333
20200122 15:33,121.5485,25.0336
20200122 15:34,121.5450,25.0333
20200122 15:35,121.5472,25.0333
20200122 15:35,121.5449,25.0332
20200122 15:35,121.5468,25.0331
20200122 15:35,121.5449,25.0332
20200122 15:35,121.5468,25.0331
20200122 15:35,121.5449,25.0332
20200122 15:35,121.5475,25.0328
20200122 15:57,121.5489,25.0323
20200122 16:04,121.5473,25.0331
20200122 16:43,121.5458,25.0331
20200122 16:51,121.5460,25.0317
20200122 16:53,121.5459,25.0333
20200122 17:04,121.5485,25.0318
20200122 17:04,121.5459,25.0324
20200122 17:04,121.5472,25.0333
20200122 17:04,121.5450,25.0333
20200122 17:04,121.5485,25.0318
20200122 17:04,121.5460,25.0331
20200122 17:04,121.5456,25.0310
20200122 17:04,121.5472,25.0333
20200122 17:04,121.5470,25.0309
20200122 17:04,121.5465,25.0331
20200122 17:04,121.5450,25.0333
20200122 17:04,121.5485,25.0318
20200122 17:04,121.5456,25.0310
20200122 17:04,121.5472,25.0333
20200122 17:04,121.5456,25.0310
20200122 17:04,121.5465,25.0331
20200122 17:04,121.5450,25.0333
20200122 17:05,121.5472,25.0333
20200122 17:05,121.5453,25.0333
20200122 17:05,121.5472,25.0333
20200122 17:05,121.5459,25.0324
20200122 17:05,121.5472,25.0333
20200122 17:05,121.5453,25.0333
20200122 17:06,121.5468,25.0331
20200122 17:07,121.5485,25.0332
20200122 17:07,121.5459,25.0334
20200122 17:07,121.5474,25.0331
20200122 17:07,121.5459,25.0334
20200122 17:07,121.5474,25.0331
20200122 17:07,121.5459,25.0324
20200122 17:08,121.5472,25.0333
20200122 17:08,121.5452,25.0333
20200122 17:08,121.5468,25.0331
20200122 17:15,121.5490,25.0345
20200122 17:15,121.5475,25.0331
20200122 17:19,121.5488,25.0347
20200122 17:19,121.5473,25.0337
20200122 18:43,121.5460,25.0372
20200122 18:46,121.5459,25.0355
20200122 18:46,121.5445,25.0378
20200122 18:46,121.5458,25.0360
20200122 18:46,121.5459,25.0346
20200122 18:46,121.5454,25.0360
20200122 18:46,121.5445,25.0378
20200122 18:46,121.5459,25.0356
20200122 18:46,121.5445,25.0378
20200122 18:46,121.5454,25.0360
20200122 18:46,121.5445,25.0378
20200122 18:46,121.5461,25.0360
20200122 18:47,121.5444,25.0378
20200122 18:47,121.5426,25.0379
20200122 18:47,121.5409,25.0379
20200122 18:47,121.5426,25.0379
20200122 18:47,121.5410,25.0379
20200122 18:47,121.5395,25.0379
20200122 18:47,121.5410,25.0379
20200122 18:47,121.5426,25.0379
20200122 18:47,121.5410,25.0379
20200122 18:47,121.5426,25.0379
20200122 18:47,121.5409,25.0379
20200122 18:48,121.5341,25.0380
20200122 18:48,121.5374,25.0381
20200122 18:48,121.5346,25.0381
20200122 18:48,121.5325,25.0381
20200122 18:48,121.5346,25.0381
20200122 18:49,121.5315,25.0381
20200122 18:51,121.5234,25.0385
20200122 18:52,121.5214,25.0388
20200122 18:57,121.5136,25.0330
20200122 18:58,121.5111,25.0310
20200122 19:00,121.5021,25.0296
20200122 19:00,121.5000,25.0293
20200122 19:00,121.5021,25.0296
20200122 19:00,121.5000,25.0293
20200122 19:00,121.5021,25.0296
20200122 19:01,121.4947,25.0287
20200122 19:01,121.4969,25.0291
20200122 19:03,121.4833,25.0266
20200122 19:03,121.4850,25.0270
20200122 19:03,121.4834,25.0281
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4834,25.0281
20200122 19:03,121.4851,25.0221
20200122 19:03,121.4850,25.0270
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4851,25.0221
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4837,25.0276
20200122 19:03,121.4851,25.0221
20200122 19:03,121.4840,25.0261
20200122 19:03,121.4825,25.0274
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4851,25.0221
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4851,25.0221
20200122 19:03,121.4840,25.0259
20200122 19:03,121.4850,25.0270
20200122 19:04,121.4773,25.0250
