datetime,x,y,seq,village
20200117 12:51,120.3886,23.4839,860,太保市埤鄉里
20200117 12:52,120.3808,23.4787,864,太保市埤鄉里
20200117 12:53,120.3762,23.4643,867,太保市港尾里
20200117 12:54,120.3711,23.4508,875,水上鄉大堀村
20200117 12:54,120.3693,23.4476,877,水上鄉大堀村
20200117 12:54,120.3650,23.4451,878,水上鄉大崙村
20200117 12:55,120.3616,23.4503,879,水上鄉大崙村
20200117 12:55,120.3590,23.4474,881,水上鄉大崙村
20200117 12:55,120.3638,23.4458,885,水上鄉大崙村
20200117 12:56,120.3578,23.4479,887,水上鄉大崙村
20200117 12:57,120.3484,23.4511,890,太保市前潭里
20200117 12:58,120.3449,23.4520,892,太保市後潭里
20200117 12:58,120.3423,23.4524,893,太保市後潭里
20200117 12:58,120.3393,23.4528,895,太保市後潭里
20200117 12:59,120.3287,23.4544,898,太保市太保里
20200117 12:59,120.3354,23.4534,899,太保市太保里
20200117 12:59,120.3322,23.4539,900,太保市春珠里
20200117 12:59,120.3372,23.4530,901,太保市太保里
20200117 13:00,120.3301,23.4542,904,太保市太保里
20200117 13:02,120.3270,23.4592,916,太保市太保里
20200117 13:04,120.3264,23.4609,921,太保市太保里
20200117 13:04,120.3244,23.4576,922,太保市太保里
20200117 13:05,120.3267,23.4570,923,太保市太保里
20200117 13:10,120.3231,23.4556,925,太保市太保里
20200117 13:10,120.3231,23.4635,929,太保市後庄里
20200117 13:11,120.3268,23.4574,930,太保市太保里
20200117 13:15,120.3239,23.4575,932,太保市太保里
20200117 13:23,120.3233,23.4592,937,太保市太保里
20200117 13:23,120.3233,23.4557,938,太保市太保里
20200117 13:23,120.3268,23.4574,940,太保市太保里
20200117 13:26,120.3234,23.4588,944,太保市太保里
20200117 13:26,120.3233,23.4557,945,太保市太保里
20200117 13:38,120.3239,23.4576,961,太保市太保里
20200117 13:39,120.3258,23.4579,965,太保市太保里
20200117 13:39,120.3232,23.4591,966,太保市太保里
