datetime,x,y,seq
20200116 10:58,120.4803,23.5593,231
20200116 10:58,120.4790,23.5601,232
20200116 10:59,120.4760,23.5590,233
20200116 10:59,120.4768,23.5632,235
20200116 11:18,120.4810,23.5593,236
20200116 11:18,120.4790,23.5601,237
20200116 11:18,120.4768,23.5632,238
20200116 11:24,120.4790,23.5601,239
20200116 11:26,120.4804,23.5595,242
20200116 11:26,120.4743,23.5691,245
20200116 11:26,120.4797,23.5598,246
20200116 11:43,120.4762,23.5639,249
20200116 11:57,120.4790,23.5601,258
20200116 12:00,120.4755,23.5644,262
20200116 12:00,120.4790,23.5601,263
20200116 12:00,120.4802,23.5593,265
20200116 12:00,120.4790,23.5601,266
20200116 12:10,120.4755,23.5644,270
20200116 13:43,120.4783,23.5636,303
20200116 13:49,120.4766,23.5638,311
20200116 13:51,120.4783,23.5636,312
20200116 13:58,120.4764,23.5639,314
20200116 15:07,120.4749,23.5641,358
20200116 15:32,120.4764,23.5640,373
20200116 19:23,120.4725,23.5578,434
20200116 19:30,120.4716,23.5566,439
20200116 19:35,120.4725,23.5578,446
20200116 19:38,120.4710,23.5559,452
20200116 19:38,120.4725,23.5578,453
20200116 19:40,120.4729,23.5552,454
20200116 19:40,120.4718,23.5562,457
20200116 19:40,120.4729,23.5552,458
20200116 19:40,120.4718,23.5562,460
20200116 19:41,120.4729,23.5552,461
20200116 19:42,120.4714,23.5555,465
20200116 19:42,120.4729,23.5552,466
20200116 19:43,120.4714,23.5555,467
20200116 20:03,120.4747,23.5572,482
20200116 20:05,120.4729,23.5577,487
20200116 20:05,120.4751,23.5572,489
20200116 20:16,120.4719,23.5556,494
20200117 00:17,120.4744,23.5566,570
20200117 00:20,120.4727,23.5559,575
20200117 00:33,120.4737,23.5569,586
20200117 00:34,120.4727,23.5559,588
20200117 02:10,120.4731,23.5582,612
20200117 02:27,120.4719,23.5557,614
20200117 06:30,120.4745,23.5564,642
20200117 06:56,120.4722,23.5559,648
20200117 07:11,120.4734,23.5575,660
20200117 08:15,120.4721,23.5560,671
20200117 08:33,120.4737,23.5574,681
20200117 08:34,120.4716,23.5565,683
20200117 08:35,120.4751,23.5572,685
20200117 08:35,120.4735,23.5575,687
20200117 08:35,120.4751,23.5572,689
20200117 08:41,120.4775,23.5583,690
20200117 08:41,120.4795,23.5595,692
20200117 08:41,120.4775,23.5583,693
20200117 08:43,120.4794,23.5610,694
20200117 08:43,120.4740,23.5686,695
20200117 08:43,120.4794,23.5610,696
20200117 08:43,120.4758,23.5654,697
20200117 08:43,120.4740,23.5686,698
20200117 08:50,120.4755,23.5641,699
20200117 12:14,120.4797,23.5599,775
20200117 12:15,120.4743,23.5592,778
20200117 12:15,120.4790,23.5601,779
20200117 12:17,120.4684,23.5596,780
20200117 12:18,120.4743,23.5691,781
20200117 12:18,120.4684,23.5596,782
20200117 12:24,120.4790,23.5601,783
20200117 12:24,120.4745,23.5669,787
20200117 12:26,120.4797,23.5598,788
20200117 12:31,120.4765,23.5604,805
20200117 12:34,120.4671,23.5623,806
20200117 12:34,120.4683,23.5633,807
20200117 12:34,120.4654,23.5613,809
20200117 12:35,120.4365,23.5534,811
20200117 12:35,120.4397,23.5523,812
20200117 12:35,120.4365,23.5534,813
20200117 12:39,120.4396,23.5575,815
20200117 12:40,120.4338,23.5511,817
20200117 12:40,120.4352,23.5546,818
20200117 12:41,120.4335,23.5498,819
20200117 12:43,120.4260,23.5501,828
20200117 12:43,120.4243,23.5503,829
20200117 12:43,120.4271,23.5499,830
20200117 12:43,120.4250,23.5502,831
20200117 12:43,120.4271,23.5499,832
20200117 12:44,120.4190,23.5516,834
20200117 12:44,120.4229,23.5504,836
20200117 12:45,120.4173,23.5523,838
20200117 12:45,120.4148,23.5526,839
