datetime,x,y,seq
20200117 12:51,120.3886,23.4839,862
20200117 12:51,120.3821,23.4812,863
20200117 12:52,120.3808,23.4787,864
20200117 12:53,120.3762,23.4643,867
20200117 12:54,120.3711,23.4508,875
20200117 12:54,120.3693,23.4476,877
20200117 12:54,120.3650,23.4451,878
20200117 12:55,120.3616,23.4503,879
20200117 12:55,120.3590,23.4474,881
20200117 12:55,120.3638,23.4458,885
20200117 12:56,120.3578,23.4479,887
20200117 12:57,120.3484,23.4511,890
20200117 12:58,120.3449,23.4520,892
20200117 12:58,120.3423,23.4524,893
20200117 12:58,120.3449,23.4521,894
20200117 12:58,120.3393,23.4528,895
20200117 12:58,120.3418,23.4524,897
20200117 12:59,120.3287,23.4544,898
20200117 12:59,120.3354,23.4534,899
20200117 12:59,120.3322,23.4539,900
20200117 12:59,120.3372,23.4530,901
20200117 12:59,120.3316,23.4539,903
20200117 13:00,120.3301,23.4542,904
20200117 13:02,120.3270,23.4592,916
20200117 13:04,120.3264,23.4609,921
20200117 13:04,120.3244,23.4576,922
20200117 13:05,120.3267,23.4570,923
20200117 13:10,120.3231,23.4556,925
20200117 13:10,120.3231,23.4635,929
20200117 13:11,120.3268,23.4574,930
20200117 13:15,120.3239,23.4575,932
20200117 13:23,120.3233,23.4592,937
20200117 13:23,120.3233,23.4557,938
20200117 13:23,120.3268,23.4574,940
20200117 13:26,120.3234,23.4588,944
20200117 13:26,120.3233,23.4557,945
20200117 13:27,120.3234,23.4588,946
20200117 13:38,120.3239,23.4576,961
20200117 13:39,120.3258,23.4579,965
20200117 13:39,120.3232,23.4591,966
20200117 13:40,120.3252,23.4578,967
20200117 13:47,120.3235,23.4554,984
20200117 13:49,120.3253,23.4711,985
20200117 13:49,120.3252,23.4579,986
20200117 13:54,120.3230,23.4569,992
20200117 13:54,120.3251,23.4581,993
20200117 13:55,120.3230,23.4569,996
20200117 13:59,120.3252,23.4576,1004
20200117 14:00,120.3147,23.4746,1006
20200117 14:00,120.3269,23.4587,1007
20200117 14:00,120.3251,23.4909,1008
20200117 14:00,120.3233,23.4558,1009
20200117 14:02,120.3319,23.4970,1011
